geno	day	wt	ht	til		
11	6	700.8	9	3		
5	6	864.6	14.6	2		
5	6	2922.9	35.7	3		
2	6	1367.1	15.6	3		
11	6	2770.8	18.4	6		
2	6	1170.6	9.9	2		
2	6	1005.7	11	2		
11	6	659.1	3.5	3		
11	6	286.5	8.3	2		
5	6	410.4	15.3	1		
11	6	958.4	11.5	4		
2	6	1777.1	25.4	2		
2	6	1312.8	11.1	2		
11	6	767.3	2.5	2		
11	6	251.1	5.2	1		
2	6	2670.2	15	2		
2	6	2577.1	15.6	2		
11	6	462.2	6.5	2		
5	6	693.7	17.1	1		
11	6	541.8	6.7	3		
2	6	2710.1	16.9	3		
11	6	947.5	9.6	4		
11	6	767	8.7	2		
11	6	473	7	3		
11	6	1873.4	22	2		
2	6	438.9	9.7	1		
5	6	1293.5	15.4	3		
5	6	1138.5	16.9	1		
5	6	787.1	8	1		
5	6	406.2	12.7	2		
2	6	857.6	16	1		
5	6	658.5	21.8	1		
11	6	447.3	0	0		
11	6	963.7	15	3		
2	6	2470.2	16.4	2		
11	6	1623.7	15	4		
5	6	1125.8	31.9	1		
11	6	1016.7	9	3		
2	6	2714.3	14.9	1		
11	6	868.4	14.2	4		
2	6	1604.8	12.3	2		
2	6	461.6	8.2	1		
5	6	1890.7	17.7	3		
11	6	498.2	15.5	2		
11	6	2154.6	18.2	4		
2	6	1564.1	18.2	1		
11	6	638.1	9.7	2		
11	6	334.8	13	3		
5	6	1793.9	17.7	2		
2	6	1057.5	11	1		
2	6	830.1	11.5	1		
11	6	1128	17.3	3		
11	6	268.5	11	2		
5	6	782.1	16.5	1		
5	6	2446.7	14.5	4		
11	6	853.9	17.5	3		
5	6	827.9	18	2		
11	6	959.9	17.3	3		
11	6	969	12	3		
5	6	2429	32.2	2		
5	6	906.8	11	2		
5	6	2847.1	33.5	2		
11	6	871.8	15	3		
2	6	756.9	14	1		
11	6	704.1	12.7	3		
11	6	1273.4	16.7	4		
5	6	1553.5	28.1	1		
2	6	1230.3	13.3	1		
2	6	3477.1	18.9	3		
11	6	1811.7	21.4	4		
2	6	1059.5	15.5	2		
11	6	1927	26.4	4		
11	6	2088.2	27.7	4		
11	6	585.4	5.8	4		
5	6	3470.5	17.7	2		
5	6	1958.3	12	3		
2	6	833.8	9.7	2		
5	6	1550.6	20.1	1		
5	6	1055.5	12.1	1		
11	6	723	8.5	5		
5	6	1314.4	33	2		
5	6	2256.9	34	3		
11	6	1119.7	8.4	5		
2	6	1598.1	14.4	1		
11	6	1539.4	11.6	7		
2	6	1766.1	21.9	2		
11	6	478.2	7.1	2		
5	6	635.4	26.5	3		
5	6	1278.8	18.5	1		
2	6	1203.1	16.6	1		
5	6	932.5	7.9	1		
2	6	1425.5	16.9	2		
5	6	1639.6	13.2	2		
2	6	1754.2	14.9	2		
11	6	725.1	11.7	4		
2	6	1447.7	11.9	2		
11	6	644.1	6.3	2		
11	6	533.8	8.8	3		
5	6	677	14.6	2		
11	6	1926.2	17.9	7		
11	6	446.7	5.2	3		
11	6	997.4	16.2	3		
11	6	397.9	11	2		
11	6	1229.2	12.9	3		
11	6	685	10.6	3		
2	6	646.5	8.3	1		
2	6	1265.1	23	1		
11	6	535.3	6.6	3		
5	6	280.5	7.7	2		
11	6	440.2	11.2	1		
11	6	513.1	7.3	3		
5	6	1897.7	18.5	5		
2	6	873.7	14.1	1		
2	6	862	20.4	1		
11	6	569.6	9.7	3		
11	6	801.8	11	3		
11	6	375.8	5.2	2		
5	6	1079.8	19.1	3		
2	6	1560.2	26.3	1		
2	6	1344.7	10.3	2		
11	6	1100.6	18.1	3		
11	6	1159.1	9.2	5		
5	6	268.5	16	1		
11	6	1008.7	15.1	3		
5	6	1774.2	22.1	2		
5	6	634.4	19.2	1		
2	6	1272.9	13.3	1		
11	6	951	17.3	2		
2	6	1519.7	10.2	2		
5	6	1559.4	24	1		
5	6	1382.7	22.5	2		
5	6	1649.4	22.7	2		
2	6	388.1	18.4	1		
11	6	1037.8	11.6	4		
5	6	1216	12.1	1		
5	6	1771.8	27	2		
11	6	1434	18.4	2		
5	6	1658.1	13.5	2		
5	6	1218.4	18.4	4		
2	6	2640.2	19.1	3		
11	6	388.5	9.8	2		
5	6	277.1	14.2	1		
11	6	441.1	11	1		
11	6	550.2	12.5	3		
11	6	1819.2	19.1	4		
5	6	1862.9	29.3	1		
5	6	581.8	16	2		
5	6	425.9	13	2		
2	6	2123.6	21	2		
11	6	1455.4	14.9	4		
2	6	1882	19.4	1		
5	6	1704.2	21.4	2		
11	6	854.2	17.9	3		
2	6	2645.1	11.6	2		
2	6	1660.4	20.5	1		
2	6	1499.3	27.8	1		
5	6	676.1	18.6	2		
5	6	1648.5	15.8	3		
11	6	1822.3	20.4	4		
5	6	1807.2	15	3		
11	6	571.9	13	3		
11	6	642.4	6.4	3		
2	6	1839.3	15.1	1		
2	6	1343.6	9	1		
5	6	1716.2	10.7	4		
2	6	2534.5	27	2		
11	6	461	7.4	2		
5	6	1647.1	16	3		
5	6	758.9	15.8	1		
5	6	1082.9	23.5	3		
2	6	2354.8	13.7	1		
5	6	1363.6	23.2	5		
2	6	530	7.7	1		
11	6	564.7	14.2	4		
5	6	1560.4	21.3	3		
5	6	1360.3	14.9	1		
5	6	1230.2	23.7	2		
2	6	455.7	11	1		
5	6	1707.1	31	4		
5	6	1310.1	30.7	1		
5	6	1917.6	28	3		
2	6	632.4	11.5	1		
5	6	699	12.4	1		
11	6	531.6	8.1	4		
11	6	826.7	18.9	4		
2	6	950.1	11	1		
2	6	1925.5	25.2	2		
2	6	3284.7	18.6	1		
2	6	599.9	14.5	1		
5	6	1883.4	24.5	3		
2	6	805.6	7.8	1		
11	6	335.3	14	2		
5	6	3127.9	28.2	2		
5	6	1199.6	19.4	2		
5	6	1001.6	17.8	2		
5	6	2598.1	17.4	4		
5	6	1177	19.4	2		
11	6	1099.9	3	2		
2	6	729.6	6.5	2		
2	6	1815	14.3	1		
2	6	2145.3	20.6	1		
2	6	907.8	22.4	1		
2	6	4980.8	16.9	2		
2	6	2932.4	31.1	1		
2	6	1631.8	9.2	1		
2	6	2198.3	22.5	2		
2	6	1705.3	12.7	1		
2	6	1294.6	14.1	2		
5	6	1117	25.1	1		
2	6	772	9.6	1		
5	6	1406.3	34.9	1		
5	6	1729	16.8	4		
11	6	581.3	12.6	2		
2	6	1769.7	9.9	1		
2	6	2480.3	12.1	1		
11	6	925.6	22.1	3		
11	6	735.4	6.3	2		
2	6	2025.1	11	2		
5	6	1750.7	29	2		
5	6	2067.1	23.6	3		
5	6	2014.1	32.6	2		
2	6	2091.3	12.4	2		
2	6	991	3.3	2		
11	6	695.1	8.4	4		
5	6	2085.9	33.6	2		
2	6	1852.2	9.2	1		
2	6	1188.7	12.9	1		
5	6	1226.8	13.1	2		
5	6	2052.2	13	2		
2	6	1666.7	26	1		
2	6	853.7	13	1		
5	6	1132.6	10.5	1		
2	6	1572.9	14.2	1		
5	6	2054	23.2	4		
5	6	882.5	18.5	1		
2	6	1729.7	13.5	2		
11	6	584.2	1	2		
11	6	475.7	4.2	2		
11	6	299.3	8.5	4		
11	6	1102.9	24.3	3		
11	6	1095.8	15.5	4		
2	6	2036.5	13.7	1		
2	6	1103.2	12.5	1		
11	6	420.2	15.4	2		
2	6	1330.3	11.5	3		
2	6	2002.9	18.3	3		
5	6	1362.1	24	1		
11	6	2083	19.6	4		
11	6	890.3	19.9	2		
11	6	1275.2	16	2		
2	6	1308	11.6	2		
11	6	1861.7	19.9	3		
2	6	838.2	13	2		
5	6	1026.7	19.3	2		
5	6	640.9	21	1		
5	6	404.4	9	1		
5	6	672	19.6	2		
2	6	936.7	11.9	2		
11	6	2524.8	27.9	3		
11	6	1717.3	19.6	7		
11	6	1021.5	14.6	4		
11	6	605.2	20	2		
2	6	306.9	4	1		
11	6	1918.1	22.1	3		
5	6	1126.2	12.5	3		
11	6	2823.5	14.2	4		
2	6	498.1	8.5	1		
2	6	1333	19.1	1		
5	6	2233.9	28	2		
5	6	1486.5	17.8	1		
2	6	3648.8	17	5		
5	6	1227.5	21	2		
5	6	1649.3	11.1	2		
5	6	657.9	6.9	1		
2	6	2057.6	26.4	2		
5	6	591.4	17	1		
11	6	1303	19.1	2		
2	6	1402.4	16.8	1		
11	6	1185.4	8.9	2		
2	6	546.9	10.3	1		
2	6	2439	20.9	4		
2	6	728.9	10.3	2		
5	6	551.9	18.7	1		
11	6	1421	21.4	4		
5	6	528.5	6.5	1		
2	6	1123.4	12.7	1		
5	6	982	23.1	2		
11	6	563.4	17.5	1		
2	6	1181.8	18.4	1		
2	6	2075.3	19.1	2		
5	6	1293.5	12.5	3		
5	6	811.7	15.5	1		
5	6	1494.6	26.1	1		
11	6	1226.9	20.1	1		
2	6	1684.4	17.9	3		
2	6	986.8	15.9	1		
5	6	593.2	13.1	2		
11	6	1058.7	7	4		
2	6	2199.1	13.8	3		
5	6	378.5	7.9	2		
11	6	599.7	15.3	2		
11	6	778	5.5	2		
2	6	953.8	14.4	1		
5	6	1065.4	29.1	1		
2	6	1159.2	14.2	1		
11	6	2738.1	25.7	5		
11	6	1513.3	11	4		
11	6	799.4	24.2	2		
11	6	952.3	4.2	2		
5	6	422.5	10.3	2		
2	6	3366.8	26.9	3		
5	6	997.8	19.9	2		
11	6	1429.4	10.7	4		
5	6	1317	11.4	2		
11	6	972	3.9	1		
2	6	949.1	10.4	2		
2	6	1885.6	16.1	1		
5	6	1493	19.5	2		
5	6	902.5	18.9	1		
5	6	1276	24.8	1		
2	6	1520	14.8	1		
2	6	1827.6	11.6	1		
5	6	1165.8	20.1	2		
2	6	1037.1	5.3	1		
11	6	1914.1	14.6	6		
11	6	1384.6	25.3	2		
11	6	1250	21.6	2		
11	6	848.9	8.7	3		
11	6	856.4	15.3	3		
11	6	1690.9	20.4	3		
11	6	799.1	4.9	2		
11	6	655.2	5	2		
11	6	499.2	10.9	1		
11	6	1146.6	0	0		
11	6	742.1	12.8	1		
11	6	1489.1	24.6	1		
11	6	803.1	24.9	2		
11	6	616.3	22	1		
11	6	180.4	0	0		
11	6	1263.8	13.8	4		
11	6	645.3	9.2	3		
11	6	890.7	12.7	4		
11	6	556.8	5.6	3		
11	6	1798.2	16.2	5		
11	6	374.4	7.5	2		
11	6	623.1	6.6	3		
11	6	503.7	9.1	2		
11	6	1040.9	22.2	1		
11	6	1635.1	13.5	4		
11	6	829.2	7.7	2		
11	6	1186.1	7.2	3		
5	6	1842.4	19	3		
5	6	889.5	10.6	3		
5	6	730.6	17.9	2		
5	6	306	16.7	1		
5	6	1320.1	25.5	2		
5	6	1227.6	19.7	2		
5	6	279.9	12	1		
5	6	636.6	11.1	1		
5	6	620.7	13	1		
11	32	NaN	20.7	3		
5	32	NaN	24.8	3		
5	32	NaN	25.8	6		
2	32	NaN	17.5	4		
11	32	NaN	28.9	9		
2	32	NaN	25.6	2		
2	32	NaN	18.5	4		
11	32	NaN	24.2	4		
11	32	NaN	14	2		
5	32	NaN	17	1		
11	32	NaN	16.3	9		
2	32	NaN	29	2		
2	32	NaN	33	4		
11	32	NaN	24.7	3		
11	32	NaN	13.4	2		
2	32	NaN	36.4	2		
2	32	NaN	23.1	3		
11	32	NaN	14.9	4		
5	32	NaN	29.3	1		
11	32	NaN	17.3	4		
2	32	NaN	34.5	5		
11	32	NaN	19.2	7		
11	32	NaN	17	5		
11	32	NaN	14.5	6		
11	32	NaN	27.5	2		
2	32	NaN	19.6	1		
5	32	NaN	28.1	4		
5	32	NaN	30.9	2		
5	32	NaN	20.5	3		
5	32	NaN	17.2	1		
2	32	NaN	29.7	1		
5	32	NaN	26	2		
11	32	NaN	10.6	1		
11	32	NaN	19.8	6		
2	32	NaN	23.8	3		
